reading refs.json...
N=3000000
fresh init via std::sample (K=1700)
training k-means: K=1700 T=200 DIM=14 N=3000000 resume_from=0 eps=1e-06
  iter 1/200  took=9703ms  total=9s  move=133.425
  iter 2/200  took=9789ms  total=19s  move=48.6083
  iter 3/200  took=9787ms  total=29s  move=31.4548
  iter 4/200  took=9797ms  total=39s  move=23.4295
  iter 5/200  took=9764ms  total=48s  move=19.0389
  iter 6/200  took=9765ms  total=58s  move=15.9215
  iter 7/200  took=9793ms  total=68s  move=13.4283
  iter 8/200  took=9739ms  total=78s  move=11.8449
  iter 9/200  took=9839ms  total=87s  move=10.2463
  iter 10/200  took=9778ms  total=97s  move=8.83878
  iter 11/200  took=9787ms  total=107s  move=7.73469
  iter 12/200  took=9817ms  total=117s  move=6.96062
  iter 13/200  took=9848ms  total=127s  move=6.27021
  iter 14/200  took=9857ms  total=137s  move=5.72392
  iter 15/200  took=9839ms  total=146s  move=5.25063
  iter 16/200  took=9802ms  total=156s  move=4.83204
  iter 17/200  took=9824ms  total=166s  move=4.56532
  iter 18/200  took=9811ms  total=176s  move=4.25212
  iter 19/200  took=9824ms  total=186s  move=3.94844
  iter 20/200  took=9810ms  total=195s  move=3.6635
  iter 21/200  took=9832ms  total=205s  move=3.43804
  iter 22/200  took=9889ms  total=215s  move=3.20788
  iter 23/200  took=9838ms  total=225s  move=3.01241
  iter 24/200  took=9882ms  total=235s  move=2.75069
  iter 25/200  took=9864ms  total=245s  move=2.57594
  iter 26/200  took=9896ms  total=255s  move=2.4583
  iter 27/200  took=9809ms  total=265s  move=2.53772
  iter 28/200  took=9878ms  total=274s  move=2.39947
  iter 29/200  took=9901ms  total=284s  move=2.33061
  iter 30/200  took=9840ms  total=294s  move=2.23628
  iter 31/200  took=9850ms  total=304s  move=2.13025
  iter 32/200  took=9794ms  total=314s  move=1.97558
  iter 33/200  took=9865ms  total=324s  move=1.90118
  iter 34/200  took=9908ms  total=334s  move=1.81064
  iter 35/200  took=9850ms  total=343s  move=1.7618
  iter 36/200  took=9892ms  total=353s  move=1.74421
  iter 37/200  took=9860ms  total=363s  move=1.86027
  iter 38/200  took=9865ms  total=373s  move=1.78322
  iter 39/200  took=9860ms  total=383s  move=1.70378
  iter 40/200  took=9842ms  total=393s  move=1.58953
  iter 41/200  took=9890ms  total=403s  move=1.46455
  iter 42/200  took=9861ms  total=412s  move=1.37689
  iter 43/200  took=9862ms  total=422s  move=1.29327
  iter 44/200  took=9843ms  total=432s  move=1.26638
  iter 45/200  took=9833ms  total=442s  move=1.22961
  iter 46/200  took=9862ms  total=452s  move=1.20227
  iter 47/200  took=9882ms  total=462s  move=1.1644
  iter 48/200  took=9896ms  total=472s  move=1.13623
  iter 49/200  took=9917ms  total=482s  move=1.09154
  iter 50/200  took=9834ms  total=491s  move=1.04406
  iter 51/200  took=9814ms  total=501s  move=1.01829
  iter 52/200  took=9831ms  total=511s  move=0.995581
  iter 53/200  took=9858ms  total=521s  move=0.978984
  iter 54/200  took=9845ms  total=531s  move=0.965657
  iter 55/200  took=9830ms  total=541s  move=0.95199
  iter 56/200  took=9825ms  total=550s  move=0.913342
  iter 57/200  took=9841ms  total=560s  move=0.915132
  iter 58/200  took=9827ms  total=570s  move=0.891854
  iter 59/200  took=9836ms  total=580s  move=0.877279
  iter 60/200  took=9823ms  total=590s  move=0.865358
  iter 61/200  took=9832ms  total=600s  move=0.856324
